Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
anheút,cercar,anheúte,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ankinnang-órrü,tabaco / pó,ankinnang-óhý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ankori,"aranha, uma a.",angcorí,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ankouók,macuco (ave),angcowóck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ankuk pakiju,lepra,ancúk pakijú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anthoré,atrás,anchoré,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anthuk,"ele, ela, eles, elas",antchuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anthuk,vocês,antchúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anthuk tauá nangran nuk,vocês / v. não são como os outros,antchuk tauá (parecem) nan- gráne nuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anthun,"claro, claridade",antchune,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
anthun,dia,antchúne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"anthun (am nhing), ti ning",cedo / vim c.,"antchún’ (ame nĩ), tenĩ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"anthun am ning, nhing ning",vir / vim cedo,"antchúne ame nĩ, nhik nĩ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
apâ,por,apâ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
apâ nhép,escutar / sente e escute,apâ inhép,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"apâ, thopó",escutar,"apâ, tchopó",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
apan,"largar, soltar",apáne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
a-pan,abandonar,apán,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"apmron, nit narrang",depressa,"apmron, nit na- hang",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
apók,abotoar,apók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
apró mung,sair / partir,apró mũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
aprom,"defronte, fronteiro, em linha reta",aprom’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
aprom,para / p. frente,aprôme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
aprom mung,andar / a. depressa,aprom mũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
aprom mung,para / p. fora!,aprô mũ,= anda fora,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
apron-tü,bem / b. depressa,ap’ron-ty,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
arâ,acre,areu,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
arâ,azedo,areu,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
arang,pelar,aráng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
a-ran-ran kruknhin,pinto,a-han-han cruknhíne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"arâp, thonhon- thon",paina,"areup, xonhon- xon",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
arẽ,debulhar,arẽh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
aren agatâk,peroba,arene (?) agatâc,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
a-tang,torcedura,atang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
athá,cipó / c. feculento,atchá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
atô,visitar,atô,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
a-top,mexer / m.-se,atôp,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
atop nun,ficar / f. quieto,atop nun,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"atop nun-thun, inthun",ficar,"atop nun- tchúne, inchúne",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"auê, uê",com,"awê, uê",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bakan,pássaro,bacan,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
bakân,"pássaro, passarinho",bacâne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bakân ké,pena,"bacâne ké, V. Asa",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bakan puk,cantar / c. o pássaro,bacáne puk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bakan unthem,ninho,bacán’ untchême,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"bakân, ké rom, nung meng",depenar,"bacâne, ké hôme, nũ meĩ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bakân-e-‘rék,ave grande,bacan-ä-räck,primeiro a entre ä e ö,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
bakan-e-rék,pássaro grande,bacan-ä-räck,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
bakân-kat,"couro, pele de um animal",bacan-cat,"segundo a palatino, quase como ö","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
bakan-kudhi,pássaro pequeno,bacan-cudgí,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"bakan- nhankorok, pómokenãm",cavalo,"bácån- niángcorock, pó-mokenám","O primeiro nome significa literalmente “pássaro amargo”. Não pode Wied-Neuwied ter cometido um erro aqui? O Segundo nome é mais apropriado e significa “um pé”, “um casco” ou “forte ungulado” Os Botocudos não conheciam cavalos antes da conquista. [nota de CFH sobre MWN]","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
bakan-nhik,carne,bacan-gnick,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
bakan-nhimak,asa,bacan-gnimaak,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
bakan-ninku,ovo de ave,bacan-ningcú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
bakanthan,amansar / a. pássaro,bacantcháne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bakân-tiem,ninho de ave,bacän-tiem,segundo a palatino,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
bakui,acima,bacuí,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bakuü,para / p. cima,bacuý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bakuü,por / p. cima,bacuý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bambã,barbante,bambã,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bentong,botão,bentoũ,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bikot,biscoito,bicôt,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bokrün,veado,bocrýn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
brók-brók,correr,brók-brók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
brong,caminho,braũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
brong ti ‘rening,ir / vá e volte já,braũ ti renĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
brong-brong,guaricanga,braũ-braũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
brukak,sauá,brucák,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
brukukuk,escarlate,brucucúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
brukukuk,vermelho,brucucúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bu ‘rérré,cheiro / cheirar bem,bú ré-hé,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
bu ton,cheiro / cheirar mal,bú tone,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
dhikarâm,sombra,djicarâme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
dhingin,embira / e. (outra espécie),djingin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
dhuem,chifre,djuême,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
e-‘ré,tremer de frio,aeä-rä,ambos palatal indistintos,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
e-‘rék,"grosso, é g.",ae-räck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
e-‘rék,largo,ae-räck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
e-‘rerré,belo,ae-rehä,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
e-‘rerré,bom,ae-rehä,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
e-‘rerré,"bom, é b.",ae-rehä,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
e-‘rerré,bonito,ae-rehä,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
e-‘rérré,"bom, bonito",eré-hé,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
e-‘rerré jikaram,melhor,ere-he gicaram’,= muito bom,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"e-‘rerré, nukatü","estar / estou bom, obrigado","ere-hé, nucatý",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"e-‘rerré, pot",são,"ere-hé, pôt (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
e-‘rúka,muito / vários,erúca,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
e-ât,queimar-se,"jiöt, j-öt",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
eknang-tá,nascer / (para animais),eknang-tá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
emprum,suco,emprúme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
en,caramujo,énn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"en, mpok kat",concha,"enn, ‘mpok cate",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
eng-eng,pica-pau (ave),aeng-äng,como ain francês,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
engru,safo,engrú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
enkró,matar / m. com faca,"encró, V. Degolar",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
erá-rim,feijão preto,erá-him,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
erré,jacaré,e-hé,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
érré,jacaré,ae-hä,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
erró,preguiça / (animal),e-hó,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
eukrin,"cópula, copular",euk’rín,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gam,de cá,game,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gam,do lado de cá,game,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gamrá,do lado de lá,gam’rá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gatâm,lagartixa,gatâme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
giakakuá,"combate, duelo a cacete",giacacuá,g como gu,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
giknang,tio,giknã,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
grang,raiva,grang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
grang,triste,g’rang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
grimgrim nhom,"prata, níquel",grimgrim nhôme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
grimpó,dois,grimpó,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
grin-grin,dinheiro,gringrin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
grom,palmito,grôme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
grom-thon,palmito / palmiteiro,grome-tchone,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"gróp, grok",amargo,"gróp, grok",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gü,talhar,gýh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gü-jun,cunhado,gy-june,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gunthun,tutu / tatuira,guntchúne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gunthung kokân,tatu / t.-canastra,guntchúne cocâne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
gut,jabuti,gut,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
iadnirun,milho,jadnirun,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iajinthi,"alvejar, atirar em",jagintchí,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iakiam-jikaram,"valente, muito v.",jakjiám-gica- rám,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iam,folha de planta,jiam,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ianthong,diabo,jántchong,ch como g,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iapaü-in-am-nuk,"verdadeiro, verdade",japaüin-amnúp,literalmente : não é mentira,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iapkenin,arroz,japkenin,"ke pelo nariz, mal distinto","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iapü-in,mentir,japüin,ü entre u e ü,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
i-ipuk,pescoço,jipúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ikan ké,pestana,icán ké,= cabelo da testa,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ikü,samambaia,iký,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"im jigü, jigü-krü",cotovelo,"ime gigý, gigy- cry (?)",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
im-nkek,furtar,inkek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
im-nun,braço,innúne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
im-nun jék,braço / osso do b.,innune jék,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
im-thâk,sarar,ím’ tcheuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ingakü,flor,ingaký,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ingam,estar / está aqui,ingáme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ingam junthak,como / c. se chama isto?,ingám’ juntchak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ingerung,dor,ingerung,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
ingerung,sofrimento,ingerun,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
ingikik,roncar,inghikík,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ingré,pulso,ing’ ré,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ingru,rebate,ingrú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inhá,carrapato / c. pequeno,inhá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inkék,ladrão,inkék,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inkong,latir,incoũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inkuk,defecar,inkuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
intá,mais,intá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
intã,costela,intãh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"intá rom, innang tá rom, kumenim",fumar,"intá hóme, innang tá home, cumen’ime",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
intá-koun,arrebitar,intá-koũne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inteik,peido,inteik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inthem,chiqueiro,inchême,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inthun,morar,inchún’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inthun,parar / demorar- se,inchúne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inthung,brincar,inchũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
intórró ‘rorron,vapor,intó-hó ro-hon,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
intük,ventosear,intýk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
intuntu,tripa / t. grossa,intuntú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
inun,asa,"inúne, V. Pena",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ioké,cauda de ave,"jokä, V. Leque de penas amarelas",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"ióknãng, iókunãng","moça, mulher","jóknang, jókunang",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iókunãng,mulher,jókunang,"entre k e n, às vezes não se ouve nenhum u","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ióp,beber,"joóp, jióp",primeiro i apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
i-pé-kü-rung,dedo polegar / dedo grande,i-pä-kü-runk,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
ipijakan pakiju,abelha,ipijacáne paquijú,= tuijuva grande,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
irá,esperar,irá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
irá,parar,irá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
irró,preguiça (animal),ihó,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ithók,língua,itchók,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ithok eron,"delator, denunciante",itchok eron’,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
iüam,caroço de fruto,jïam,i apenas audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iun,bico de ave,jiun,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
iun-oron,"bico, um b. comprido",jiun-oron,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
i-upu,mãe,jupú,"Consagrou-se a escrita “guiupu” entre os Krenak da T. I. Vanuíre (Arco-Íris, SP)","Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jagü,conhecer,jagy,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jagü,saber,jagý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jagü (porran meajik),ensinar,jagy (pohan meagik?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jahâ,"brejauva, ari (palmeira)",ja-hâh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"jajuk, (mpok) jenetaput",cauda / c. de peixe,"jajúk, (‘mpok) genetapút",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jâk,insosso,jeuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jak nek,pote,jak nek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ja-kang nhe-reik,dobrar / d. a roupa,ja-cang nhe- heik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakâp,manduri (abelha),"jacâp, V. Abelha",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakaré jun,japu,jacaré june,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakaré-jun,guaxe,jacaré-june,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakekék,borboleta,jakekék,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakiâm,agressor,jakjâme,corrupção de kjak jame = arranhar o companheiro,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakiâm,zangado,jakjame,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakiâm mpât,amansar,jakjâme ‘mpâte,= bravo bastar,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakjâm,"bravo, bravio",jak jâme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakjâm,feroz,jak-jâme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jak-jâm,briga,jak-jâme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jak-jek,queixada,jak jek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakjeut-ké,barba,jak-jeut-ké,= pelo do queixo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jakré,lagarto,jak’ré,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jaküp,tapar,jakhýp,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jam,folha (larga?),jame,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"jam, kren",semente,"jáme, créne",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jam-rim,feijão / f. arbusto,jam’hime,= folha escura,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
jan,fel,jane,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
japakurrün,mentir,japacuhyn’ (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
japakuün,falsidade,japacuýne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
